Trabalho, Avaliador 1, Avaliador 2, Avaliador 3, Avaliador 4, Similaridade 1, Similaridade 2, Similaridade 3, Similaridade 4
0,joedson silva dos santos,uberlandio batista severo,joedson silva dos santos,uberlandio batista severo,0.21,0.46,0.21,0.46
1,fagner dias araruna,uberlandio batista severo,fagner dias araruna,uberlandio batista severo,0.21,0.53,0.21,0.53
2,fagner dias araruna,joedson silva dos santos,fagner dias araruna,joedson silva dos santos,0.46,0.53,0.46,0.53
3,hemilio fernandes campos coelho,lazaro de souto araujo,hemilio fernandes campos coelho,tarciana liberal pereira,0.32,0.23,0.32,0.47
4,lazaro de souto araujo,rodrigo bernardo da silva,hemilio fernandes campos coelho,rodrigo bernardo da silva,0.27,0.29,0.4,0.29
5,hemilio fernandes campos coelho,tatiene correia de souza,lazaro de souto araujo,tatiene correia de souza,0.16,0.4,0.43,0.4
6,lazaro de souto araujo,ronei marcos de moraes,ana flavia uzeda dos santos macambira,tarciana liberal pereira,0.28,0.2,0.4,0.31
7,ana flavia uzeda dos santos macambira,luiz medeiros de araujo lima filho,eufrasio de andrade lima neto,rodrigo bernardo da silva,0.27,0.32,0.43,0.36
8,eufrasio de andrade lima neto,lazaro de souto araujo,eufrasio de andrade lima neto,tatiene correia de souza,0.37,0.32,0.37,0.4
9,eufrasio de andrade lima neto,luiz medeiros de araujo lima filho,lazaro de souto araujo,ronei marcos de moraes,0.23,0.3,0.36,0.33
10,luiz medeiros de araujo lima filho,tatiene correia de souza,rodrigo bernardo da silva,tatiene correia de souza,0.33,0.37,0.33,0.37
11,eufrasio de andrade lima neto,tatiene correia de souza,ana flavia uzeda dos santos macambira,tatiene correia de souza,0.23,0.37,0.47,0.37
12,hemilio fernandes campos coelho,luiz medeiros de araujo lima filho,eufrasio de andrade lima neto,luiz medeiros de araujo lima filho,0.23,0.4,0.4,0.4
13,bernardina maria juvenal freire de oliveira,clauirton de albuquerque siebra,clauirton de albuquerque siebra,vivek nigam,0.25,0.44,0.44,0.49
14,bernardina maria juvenal freire de oliveira,ed porto bezerra,josilene aires moreira,liliane dos santos machado,0.33,0.33,0.32,0.5
15,eliane bezerra paiva,marynice de medeiros matos autran,liliane dos santos machado,vivek nigam,0.34,0.31,0.42,0.34
16,alisson vasconcelos de brito,leonardo vidal batista,leonardo vidal batista,thais gaudencio do rego,0.28,0.46,0.46,0.44
17,ed porto bezerra,fernando menezes matos,liliane dos santos machado,tiago pereira do nascimento,0.32,0.48,0.6,0.46
18,clauirton de albuquerque siebra,leonardo vidal batista,fernando menezes matos,leonardo vidal batista,0.32,0.46,0.51,0.46
19,ed porto bezerra,leonardo vidal batista,ed porto bezerra,iguatemi eduardo da fonseca,0.51,0.4,0.51,0.47
20,fernando menezes matos,vivek nigam,ed porto bezerra,fernando menezes matos,0.47,0.23,0.37,0.47
21,ayla debora dantas de souza reboucas,thais gaudencio do rego,ayla debora dantas de souza reboucas,liliane dos santos machado,0.32,0.23,0.32,0.34
22,ayla debora dantas de souza reboucas,fernando menezes matos,ed porto bezerra,vivek nigam,0.28,0.4,0.46,0.4
23,alisson vasconcelos de brito,liliane dos santos machado,iguatemi eduardo da fonseca,thais gaudencio do rego,0.17,0.3,0.3,0.28
24,pablo brilhante de sousa,carlos xavier de azevedo netto,clauirton de albuquerque siebra,fernando menezes matos,0.24,0.01,0.6,0.5
25,ayla debora dantas de souza reboucas,josilene aires moreira,ayla debora dantas de souza reboucas,bernardina maria juvenal freire de oliveira,0.5,0.34,0.5,0.42
26,bernardina maria juvenal freire de oliveira,tiago pereira do nascimento,clauirton de albuquerque siebra,leonardo vidal batista,0.15,0.21,0.44,0.36
27,ayla debora dantas de souza reboucas,leonardo vidal batista,clauirton de albuquerque siebra,fernando menezes matos,0.27,0.35,0.46,0.4
28,alisson vasconcelos de brito,iguatemi eduardo da fonseca,alisson vasconcelos de brito,ed porto bezerra,0.49,0.23,0.49,0.45
29,jorge gabriel gomes de souza ramos,marcos cesar santos oria,paulo sergio rodrigues da silva,thierry marcelino passerat de silans,0.39,0.41,0.55,0.48
30,hugo leonardo davi de souza cavalcante,marcos cesar santos oria,martine patricia arltte chevroller,paulo sergio rodrigues da silva,0.3,0.25,0.32,0.43
31,jorge gabriel gomes de souza ramos,marcos cesar santos oria,thierry marcelino passerat de silans,valdir barbosa bezerra,0.39,0.28,0.4,0.43
32,carlos antonio de sousa pires,paulo sergio rodrigues da silva,marcos cesar santos oria,paulo sergio rodrigues da silva,0.39,0.47,0.53,0.47
33,carlos antonio de sousa pires,thierry marcelino passerat de silans,jorge gabriel gomes de souza ramos,thierry marcelino passerat de silans,0.41,0.51,0.53,0.51
34,jorge gabriel gomes de souza ramos,paulo sergio rodrigues da silva,marcos cesar santos oria,thierry marcelino passerat de silans,0.3,0.33,0.39,0.59
35,martine patricia arltte chevroller,valdir barbosa bezerra,carlos antonio de sousa pires,jorge gabriel gomes de souza ramos,0.33,0.37,0.55,0.47
36,hugo leonardo davi de souza cavalcante,marcos cesar santos oria,marcos cesar santos oria,martine patricia arltte chevroller,0.4,0.51,0.51,0.59
37,carlos antonio de sousa pires,paulo sergio rodrigues da silva,hugo leonardo davi de souza cavalcante,paulo sergio rodrigues da silva,0.37,0.37,0.43,0.37
38,liliana de fatima bezerra lira de pontes,silmar andrade do monte,fabio pedrosa lins silva,gerd bruno da rocha,0.41,0.2,0.46,0.46
39,maria betania hermenegildo dos santos,williame farias ribeiro,ilda antonieta salata toscano,julio santos reboucas,0.39,0.3,0.4,0.34
40,petronio filgueiras de athayde filho,ricardo alexandre cavalcanti de lima,mario luiz araujo de almeida vasconcellos,petronio filgueiras de athayde filho,0.63,0.24,0.6,0.63
41,karen cacilda weber,mario cesar ugulino de araujo,fausthon fred da silva,rodrigo cristiano,0.25,0.37,0.58,0.6
42,elizete ventura do monte,williame farias ribeiro,marcio jose coelho de pontes,ricardo alexandre cavalcanti de lima,0.32,0.2,0.39,0.35
43,maria betania hermenegildo dos santos,savio moita pinheiro,ercules epaminondas de sousa teotonio,karen cacilda weber,0.3,0.18,0.45,0.45
44,gerd bruno da rocha,sherlan guimaraes lemos,fernando jose volpi eusebio de oliveira,gerd bruno da rocha,0.54,0.51,0.51,0.54
45,fabio pedrosa lins silva,ricardo alexandre cavalcanti de lima,rodrigo cristiano,wagner de mendonca faustino,0.43,0.31,0.57,0.67
46,liliana de fatima bezerra lira de pontes,rodrigo cristiano,fausthon fred da silva,wagner de mendonca faustino,0.35,0.51,0.57,0.67
47,ieda maria garcia dos santos,silmar andrade do monte,jose geraldo de paiva espinola,wagner de mendonca faustino,0.52,0.38,0.6,0.63
48,ricardo alexandre cavalcanti de lima,silmar andrade do monte,claudio gabriel lima junior,mario luiz araujo de almeida vasconcellos,0.21,0.32,0.58,0.58
49,edvan cirino da silva,mario cesar ugulino de araujo,dayse das neves moreira,ieda maria garcia dos santos,0.37,0.35,0.58,0.54
50,liliana de fatima bezerra lira de pontes,mario luiz araujo de almeida vasconcellos,jose geraldo de paiva espinola,maria gardennia da fonseca,0.31,0.48,0.61,0.63
51,edvan cirino da silva,wagner de mendonca faustino,juliana alves vale,williame farias ribeiro,0.18,0.46,0.5,0.48
52,edvan cirino da silva,savio moita pinheiro,elizete ventura do monte,maria gardennia da fonseca,0.29,0.41,0.54,0.48
53,fernando jose volpi eusebio de oliveira,wagner de mendonca faustino,fausthon fred da silva,petronio filgueiras de athayde filho,0.44,0.42,0.54,0.52
54,fernando jose volpi eusebio de oliveira,maria betania hermenegildo dos santos,mario cesar ugulino de araujo,sherlan guimaraes lemos,0.25,0.25,0.46,0.47
55,fausthon fred da silva,mario cesar ugulino de araujo,fernando jose volpi eusebio de oliveira,wagner de mendonca faustino,0.49,0.36,0.61,0.61
