NOME_AUTOR	NOME_ORIENTADOR	GRANDE_AREA	AREA	SUB_AREA	ESPECIALIDADE
FELIPE DOS SANTOS SILVA DINIZ	GUTTEMBERG DA SILVA SILVINO	Ciências Agrárias	Agronomia	Agrometeorologia	nan
ADAILSON TULIO DOS SANTOS SILVA	GUTTEMBERG DA SILVA SILVINO	Ciências Agrárias	Agronomia	Agrometeorologia	nan
GERMANA PESSOA DE PONTES	VALERIA PEIXOTO BORGES	Ciências Agrárias	Agronomia	Agrometeorologia	nan
MATHEUS HENRIQUE CARDOSO DE ARAUJO	ALEXANDRE PAIVA DA SILVA	Ciências Agrárias	Agronomia	Ciência do Solo	Fertilidade do Solo e Adubação
SANTIAGO ALVES DE OLIVEIRA	ALEXANDRE PAIVA DA SILVA	Ciências Agrárias	Agronomia	Ciência do Solo	Fertilidade do Solo e Adubação
BRUNA THALIA SILVEIRA SABINO	FLAVIO PEREIRA DE OLIVEIRA	Ciências Agrárias	Agronomia	Ciência do Solo	Física do Solo
WAGNER DE PONTES PEREIRA	FLAVIO PEREIRA DE OLIVEIRA	Ciências Agrárias	Agronomia	Ciência do Solo	Física do Solo
JOAO HENRIQUE MELO	MILTON CESAR COSTA CAMPOS	Ciências Agrárias	Agronomia	Ciência do Solo	Gênese Morfologia e Classificação dos Solos
JOALISON DE BRITO SILVA	MILTON CESAR COSTA CAMPOS	Ciências Agrárias	Agronomia	Ciência do Solo	Gênese Morfologia e Classificação dos Solos
ALINE AMANDA DA SILVA LIMA	MILTON CESAR COSTA CAMPOS	Ciências Agrárias	Agronomia	Ciência do Solo	Gênese Morfologia e Classificação dos Solos
ROBSON VINICIO DOS SANTOS	MILTON CESAR COSTA CAMPOS	Ciências Agrárias	Agronomia	Ciência do Solo	Gênese Morfologia e Classificação dos Solos
HÁIMYK ANDRESSA NÓBREGA SOUZA	BRUNO DE OLIVEIRA DIAS	Ciências Agrárias	Agronomia	Ciência do Solo	Manejo e Conservação do Solo
JOSE MATHEUS DA SILVA BARBOSA	DJAIL SANTOS	Ciências Agrárias	Agronomia	Ciência do Solo	Manejo e Conservação do Solo
JOSEANE DA SILVA FERREIRA	DJAIL SANTOS	Ciências Agrárias	Agronomia	Ciência do Solo	Manejo e Conservação do Solo
ZENAIDE GOMES DA SILVA	RAUNIRA DA COSTA ARAUJO	Ciências Agrárias	Agronomia	Ciência do Solo	Manejo e Conservação do Solo
JULIO DE SOUZA LIMA	FLAVIO PEREIRA DE OLIVEIRA	Ciências Agrárias	Agronomia	Ciência do Solo	nan
JOSÉ RAONNY DOS SANTOS SILVA	MILTON CÉSAR COSTA CAMPOS	Ciências Agrárias	Agronomia	Ciência do Solo	nan
LAZARO MATHEUS FRANCO DA SILVA	RAPHAEL MOREIRA BEIRIGO	Ciências Agrárias	Agronomia	Ciência do Solo	nan
